datetime,Article Count,All Articles,keyword
2019-01-01 00:00:00+00:00,39,297788,Green Deal
2019-01-02 00:00:00+00:00,356,446886,Green Deal
2019-01-03 00:00:00+00:00,641,500956,Green Deal
2019-01-04 00:00:00+00:00,278,488089,Green Deal
2019-01-05 00:00:00+00:00,125,323797,Green Deal
2019-01-06 00:00:00+00:00,108,302169,Green Deal
2019-01-07 00:00:00+00:00,201,492100,Green Deal
2019-01-08 00:00:00+00:00,213,535742,Green Deal
2019-01-09 00:00:00+00:00,201,565657,Green Deal
2019-01-10 00:00:00+00:00,157,567058,Green Deal
2019-01-11 00:00:00+00:00,169,544305,Green Deal
2019-01-12 00:00:00+00:00,72,346849,Green Deal
2019-01-13 00:00:00+00:00,58,314670,Green Deal
2019-01-14 00:00:00+00:00,87,524137,Green Deal
2019-01-15 00:00:00+00:00,127,564620,Green Deal
2019-01-16 00:00:00+00:00,347,580093,Green Deal
2019-01-17 00:00:00+00:00,126,574929,Green Deal
2019-01-18 00:00:00+00:00,166,538498,Green Deal
2019-01-19 00:00:00+00:00,45,356035,Green Deal
2019-01-20 00:00:00+00:00,34,313260,Green Deal
2019-01-21 00:00:00+00:00,139,495595,Green Deal
2019-01-22 00:00:00+00:00,155,557644,Green Deal
2019-01-23 00:00:00+00:00,89,578855,Green Deal
2019-01-24 00:00:00+00:00,159,576494,Green Deal
2019-01-25 00:00:00+00:00,120,544704,Green Deal
2019-01-26 00:00:00+00:00,47,342267,Green Deal
2019-01-27 00:00:00+00:00,60,316053,Green Deal
2019-01-28 00:00:00+00:00,87,532393,Green Deal
2019-01-29 00:00:00+00:00,271,586242,Green Deal
2019-01-30 00:00:00+00:00,236,593067,Green Deal
2019-01-31 00:00:00+00:00,287,591396,Green Deal
2019-02-01 00:00:00+00:00,196,560733,Green Deal
2019-02-02 00:00:00+00:00,78,358236,Green Deal
2019-02-03 00:00:00+00:00,71,322356,Green Deal
2019-02-04 00:00:00+00:00,133,510826,Green Deal
2019-02-05 00:00:00+00:00,177,560013,Green Deal
2019-02-06 00:00:00+00:00,228,578420,Green Deal
2019-02-07 00:00:00+00:00,1233,571544,Green Deal
2019-02-08 00:00:00+00:00,1224,543911,Green Deal
2019-02-09 00:00:00+00:00,1114,348465,Green Deal
2019-02-10 00:00:00+00:00,1020,314312,Green Deal
2019-02-11 00:00:00+00:00,1131,533288,Green Deal
2019-02-12 00:00:00+00:00,1374,575296,Green Deal
2019-02-13 00:00:00+00:00,1443,588406,Green Deal
2019-02-14 00:00:00+00:00,1014,594775,Green Deal
2019-02-15 00:00:00+00:00,1138,556029,Green Deal
2019-02-16 00:00:00+00:00,683,357088,Green Deal
2019-02-17 00:00:00+00:00,420,311312,Green Deal
2019-02-18 00:00:00+00:00,525,496431,Green Deal
2019-02-19 00:00:00+00:00,945,567800,Green Deal
2019-02-20 00:00:00+00:00,505,590282,Green Deal
2019-02-21 00:00:00+00:00,537,591398,Green Deal
2019-02-22 00:00:00+00:00,420,559136,Green Deal
2019-02-23 00:00:00+00:00,610,357936,Green Deal
2019-02-24 00:00:00+00:00,434,327993,Green Deal
2019-02-25 00:00:00+00:00,619,553023,Green Deal
2019-02-26 00:00:00+00:00,732,577907,Green Deal
2019-02-27 00:00:00+00:00,809,594100,Green Deal
2019-02-28 00:00:00+00:00,460,595251,Green Deal
2019-03-01 00:00:00+00:00,1587,559164,Green Deal
2019-03-02 00:00:00+00:00,1294,345335,Green Deal
2019-03-03 00:00:00+00:00,1526,322812,Green Deal
2019-03-04 00:00:00+00:00,1240,529873,Green Deal
2019-03-05 00:00:00+00:00,705,567060,Green Deal
2019-03-06 00:00:00+00:00,555,562602,Green Deal
2019-03-07 00:00:00+00:00,715,582300,Green Deal
2019-03-08 00:00:00+00:00,522,540030,Green Deal
2019-03-09 00:00:00+00:00,341,345346,Green Deal
2019-03-10 00:00:00+00:00,413,324986,Green Deal
2019-03-11 00:00:00+00:00,764,534250,Green Deal
2019-03-12 00:00:00+00:00,609,589422,Green Deal
2019-03-13 00:00:00+00:00,445,580276,Green Deal
2019-03-14 00:00:00+00:00,796,588363,Green Deal
2019-03-15 00:00:00+00:00,1156,571667,Green Deal
